wilaya_code,name_ar,name_en
01,أدرار,أدرار
01,تامست,تامست
01,رقان,رقان
01,إن زغمير,إن زغمير
01,تيط,تيط
01,تسابيت,تسابيت
01,زاوية كنتة,زاوية كنتة
01,أولف,أولف
01,تيمقطن,تيمقطن
01,تمنطيط,تمنطيط
01,فنوغيل,فنوغيل
01,سالي,سالي
01,أقبلي,أقبلي
01,أولاد أحمد تيمي,أولاد أحمد تيمي
01,بودة,بودة
01,سبع,سبع
02,الشلف,الشلف
02,تنس,تنس
02,بنايرية,بنايرية
02,الكريمية,الكريمية
02,تاجنة,تاجنة
02,تاقريت,تاقريت
02,بني حواء,بني حواء
02,صبحة,صبحة
02,حرشون,حرشون
02,أولاد فارس,أولاد فارس
02,سيدي عكاشة,سيدي عكاشة
02,بوقادير,بوقادير
02,بني راشد,بني راشد
02,تلعصة,تلعصة
02,الهرنفة,الهرنفة
02,وادي قوسين,وادي قوسين
02,الظهر,الظهر
02,أولاد عباس,أولاد عباس
02,السنجاس,السنجاس
02,الزبوجة,الزبوجة
02,وادي سلي,وادي سلي
02,أبو الحسن,أبو الحسن
02,المرسى,المرسى
02,الشطية,الشطية
02,سيدي عبد الرحمن,سيدي عبد الرحمن
02,مصدق,مصدق
02,الحجاج,الحجاج
02,الأبيض مجاجة,الأبيض مجاجة
02,وادي الفضة,وادي الفضة
02,أولاد بن عبد القادر,أولاد بن عبد القادر
02,بوزغاية,بوزغاية
02,عين مران,عين مران
02,أم الدروع,أم الدروع
02,بريرة,بريرة
02,بني بوعتاب,بني بوعتاب
03,الأغواط,الأغواط
03,قصر الحيران,قصر الحيران
03,بن ناصر بن شهرة,بن ناصر بن شهرة
03,سيدي مخلوف,سيدي مخلوف
03,حاسي الدلاعة,حاسي الدلاعة
03,حاسي الرمل,حاسي الرمل
03,عين ماضي,عين ماضي
03,تاجموت,تاجموت
03,الخنق,الخنق
03,قلتة سيدي سعد,قلتة سيدي سعد
03,عين سيدي علي,عين سيدي علي
03,البيضاء,البيضاء
03,بريدة,بريدة
03,الغيشة,الغيشة
03,الحاج مشري,الحاج مشري
03,سبقاق,سبقاق
03,تاويالة,تاويالة
03,تاجرونة,تاجرونة
03,أفلو,أفلو
03,العسافية,العسافية
03,وادي مرة,وادي مرة
03,وادي مزي,وادي مزي
03,الحويطة,الحويطة
03,سيدي بوزيد,سيدي بوزيد
04,أم البواقي,أم البواقي
04,عين البيضاء,عين البيضاء
04,عين مليلة,عين مليلة
04,بحير الشرقي,بحير الشرقي
04,العامرية,العامرية
04,سيقوس,سيقوس
04,البلالة,البلالة
04,عين بابوش,عين بابوش
04,بريش,بريش
04,أولاد حملة,أولاد حملة
04,الضلعة,الضلعة
04,عين كرشة,عين كرشة
04,هنشير تومغني,هنشير تومغني
04,الجازية,الجازية
04,عين الديس,عين الديس
04,فكيرينة,فكيرينة
04,سوق نعمان,سوق نعمان
04,الزرق,الزرق
04,الفجوج بوغرارة سعودي,الفجوج بوغرارة سعودي
04,أولاد زواي,أولاد زواي
04,بئر الشهداء,بئر الشهداء
04,قصر الصباحي,قصر الصباحي
04,وادي نيني,وادي نيني
04,مسكيانة,مسكيانة
04,عين فكرون,عين فكرون
04,الراحية,الراحية
04,عين الزيتون,عين الزيتون
04,أولاد قاسم,أولاد قاسم
04,الحرملية,الحرملية
05,باتنة,باتنة
05,غسيرة,غسيرة
05,معافة,معافة
05,مروانة,مروانة
05,سريانة,سريانة
05,منعة,منعة
05,المعذر,المعذر
05,تازولت,تازولت
05,نقاوس,نقاوس
05,قيقبة,قيقبة
05,إينوغيسن,إينوغيسن
05,عيون العصافير,عيون العصافير
05,جرمة,جرمة
05,بيطام,بيطام
05,إزيل عبد القادر,إزيل عبد القادر
05,أريس,أريس
05,كيمل,كيمل
05,تيلاطو,تيلاطو
05,عين جاسر,عين جاسر
05,أولاد سالم,أولاد سالم
05,تغرغار,تغرغار
05,عين ياقوت,عين ياقوت
05,فسديس,فسديس
05,سفيان,سفيان
05,الرحبات,الرحبات
05,تغانمين,تغانمين
05,لمسان,لمسان
05,قصر بلزمة,قصر بلزمة
05,سقانة,سقانة
05,إشمول,إشمول
05,فم الطوب,فم الطوب
05,بني فضالة الحكانية,بني فضالة الحكانية
05,وادي الماء,وادي الماء
05,تالخمت,تالخمت
05,بوزينة,بوزينة
05,شمرة,شمرة
05,وادي الشعبة,وادي الشعبة
05,تاكسلانت,تاكسلانت
05,القصبات,القصبات
05,أولاد عوف,أولاد عوف
05,بومقر,بومقر
05,بريكة,بريكة
05,الجزار,الجزار
05,تكوت,تكوت
05,عين التوتة,عين التوتة
05,حيدوسة,حيدوسة
05,ثنية العابد,ثنية العابد
05,وادي الطاقة,وادي الطاقة
05,أولاد فاضل,أولاد فاضل
05,تيمقاد,تيمقاد
05,رأس العيون,رأس العيون
05,شير,شير
05,أولاد سيدي سليمان,أولاد سيدي سليمان
05,زانة البيضاء,زانة البيضاء
05,مدوكال,مدوكال
05,أولاد عمار,أولاد عمار
05,الحاسي,الحاسي
05,لازرو,لازرو
05,بومية,بومية
05,بوالحيلات,بوالحيلات
05,لرباع,لرباع
06,بجاية,بجاية
