code,name_ar,name_en
01,أدرار,أدرار
02,الشلف,الشلف
03,الأغواط,الأغواط
04,أم البواقي,أم البواقي
05,باتنة,باتنة
06,بجاية,بجاية
07,بسكرة,بسكرة
08,بشار,بشار
09,البليدة,البليدة
10,البويرة,البويرة
11,تمنراست,تمنراست
12,تبسة,تبسة
13,تلمسان,تلمسان
14,تيارت,تيارت
15,تيزي وزو,تيزي وزو
16,الجزائر,الجزائر
17,الجلفة,الجلفة
18,جيجل,جيجل
19,سطيف,سطيف
20,سعيدة,سعيدة
21,سكيكدة,سكيكدة
22,سيدي بلعباس,سيدي بلعباس
23,عنابة,عنابة
24,قالمة,قالمة
25,قسنطينة,قسنطينة
26,المدية,المدية
27,مستغانم,مستغانم
28,المسيلة,المسيلة
29,معسكر,معسكر
30,ورقلة,ورقلة
31,وهران,وهران
32,البيض,البيض
33,إيليزي,إيليزي
34,برج بوعريريج,برج بوعريريج
35,بومرداس,بومرداس
36,الطارف,الطارف
37,تندوف,تندوف
38,تيسمسيلت,تيسمسيلت
39,الوادي,الوادي
40,خنشلة,خنشلة
41,سوق أهراس,سوق أهراس
42,تيبازة,تيبازة
43,ميلة,ميلة
44,عين الدفلة,عين الدفلة
45,النعامة,النعامة
46,عين تيموشنت,عين تيموشنت
47,غرداية,غرداية
48,غليزان,غليزان
49,تيميمون,تيميمون
50,برج باجي مختار,برج باجي مختار
51,أولاد جلال,أولاد جلال
52,بني عباس,بني عباس
53,عين صالح,عين صالح
54,عين قزام,عين قزام
55,توقرت,توقرت
56,جانت,جانت
57,المغير,المغير
58,المنيعة,المنيعة
